S.No.,"Vendor
Name","GST
IN",State,Manufacturer,"Drug
License
No.","Store
Name","PO
No.","PO
Date","GRN
No.","GRN
Status",GRN Type,"GRN
Date","GRN
Compl.
Date","Invoice
No.","Invoice
Date","Drug
Code","Drug
Description","HSN
Code","Purchase
UOM","Batch
No.","Mfg
Date","Expiry
Date","Free
Item",Tax Scheme Name,Qty,Rate,MRP,"MRP
(I/E)","Total
Rate","Disc
Amt","Tax
Amt","Grand
Total"
32,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,ABBOTT HEALTHCARE,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5104,17/09/2026,SE/PH/GRN/26/6680,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57163,17/09/2026,NOVO32,Novofine Needle 32G,90183290,Nos,136980^PS7H04X-3,01/08/2024,31/07/2029,N,Outside State Purchase GST-5%,900.00,14.35,17.13,I,12915.00,645.75,613.46,12882.71
33,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5038,14/09/2026,SE/PH/GRN/26/6681,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57278,17/09/2026,PHM200,Prohance Mom SF 200gm Powder,18069090,Jar,141165^ZRD0188,01/05/2026,31/07/2027,N,Outside State Purchase GST-5%,8.00,278.58,415.50,I,2228.64,111.43,105.86,2223.07
34,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6682,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57216,17/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,(1.00 x Capsules),141351^SIH1067A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,120.00,16.53,21.70,I,1984.08,99.20,94.24,1979.12
35,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,Tablets (India) Limited,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4919,10/09/2026,SE/PH/GRN/26/6683,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57264,17/09/2026,BIC001,Bifilac Cap,30029030,Capsule,139358^ALA26N01,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,2000.00,9.91,14.90,I,19822.00,991.10,941.54,19772.44
36,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,Tablets (India) Limited,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4919,10/09/2026,SE/PH/GRN/26/6683,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57264,17/09/2026,BICS05,Bifilac 0.5gm Sachet,30024910,Sachet,141830^LLA26N04,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,198.00,14.29,19.95,I,2829.42,141.47,134.40,2822.35
37,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5135,17/09/2026,SE/PH/GRN/26/6684,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57275,17/09/2026,LZD025,Lonazep MD 0.25mg Tab,30049082,Tablet,132433^GTH0945A,01/03/2026,28/02/2028,N,Outside State Purchase GST-5%,1200.00,1.44,2.15,I,1728.00,86.40,82.08,1723.68
38,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5135,17/09/2026,SE/PH/GRN/26/6684,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57275,17/09/2026,OXC060,Oxetol Suspension 60ml,30049082,Bottle,141540^SXH1561A,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,30.00,134.86,236.00,I,4045.80,202.29,192.18,4035.69
39,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5135,17/09/2026,SE/PH/GRN/26/6684,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57275,17/09/2026,TZN002,Tizan 2mg Tab,30049099,Tablet,122007^GTH0450A,01/02/2026,31/01/2029,N,Outside State Purchase GST-5%,120.00,12.68,20.30,I,1521.84,76.09,72.29,1518.04
40,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,Intas Laboratories Pvt Ltd,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5195,17/09/2026,SE/PH/GRN/26/6685,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57513,17/09/2026,BVTS400,Bevatas 400mg Inj,30021500,Vial,129542^24030120,01/03/2026,28/02/2029,N,Outside State Purchase GST-5%,8.00,7000.00,62690.10,I,56000.00,0.00,2800.00,58800.00
41,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,Cadila Health Care Ltd,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4992,12/09/2026,SE/PH/GRN/26/6686,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57861,18/09/2026,ACBN20,Aciban 20mg Tab,30049039,Tablet,141829^JKAB25002,01/12/2025,30/11/2028,N,Outside State Purchase GST-5%,1000.00,2.86,4.55,I,2858.00,142.90,135.75,2850.86
42,R.K Pharma,07AAIFR7148G1ZY,Delhi,BDR Pharmaceuticals International Pvt Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5116,17/09/2026,SE/PH/GRN/26/6687,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29574,17/09/2026,CNS555,Canshield 50mg Inj,30049029,Vial,141842^PCOBD0126,01/06/2026,28/02/2029,N,Outside State Purchase GST-5%,2.00,999.00,18700.00,I,1998.00,99.90,94.91,1993.01
43,R.K Pharma,07AAIFR7148G1ZY,Delhi,BDR Pharmaceuticals International Pvt Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5116,17/09/2026,SE/PH/GRN/26/6687,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29574,17/09/2026,FOS40,Fosfofast 4000mg Injection,30049099,Vial,138775^BI260203A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,20.00,405.00,7939.80,I,8100.00,405.00,384.75,8079.75
44,R.K Pharma,07AAIFR7148G1ZY,Delhi,BDR Pharmaceuticals International Pvt Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5116,17/09/2026,SE/PH/GRN/26/6687,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29574,17/09/2026,INNO500,Innomer 500mg Inj,30049099,Vial,141305^CMPCF0926,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,200.00,80.00,776.00,I,16000.00,800.00,760.00,15960.00
45,R.K Pharma,07AAIFR7148G1ZY,Delhi,BDR Pharmaceuticals International Pvt Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5116,17/09/2026,SE/PH/GRN/26/6687,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29574,17/09/2026,XVT025,Xavitaz 2.5gm Inj,30042099,Vial,141304^CCDAX0426,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,80.00,500.00,7299.60,I,40000.00,0.00,2000.00,42000.00
46,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,BPN 150,Bupron SR 150mg Tab,30049099,(1.00 x Tablet),141828^SIH1190A,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,200.00,11.01,19.30,I,2202.40,110.12,104.61,2196.89
47,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,DRNS20,Dronis 20 Tab ( 24's),30066020,Strips,141827^GKH1087A,01/06/2026,30/11/2028,N,Outside State Purchase GST-0%,6.00,265.68,438.00,I,1594.08,79.70,0.00,1514.38
