S.No.,PRQ No.,"Created
Date","Created
By","Approved
Date","Approved
By","Creation
Status","Processing
Status",PRQ Remarks,Item Code,Item Name,UOM,"Required
Date",Department,Preferred Vendor,Preferred Manufacturer,Item Remarks,"Auto
PRQ(Y/N)",Parent PO,"Required
Qty","PO
Incl. Qty"
11,P/AMPU/26/4971,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,COS020,Cafneon OS 20mg/ml Oral Solution,Bottle,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,60.00,60.00
12,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,LOX2%,Lox 2% Inj 30ml,Nos,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,300.00,300.00
13,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,NRF010,Neorof 10mg/ml 10ml Inj,(1.00 x Vial),19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,200.00,200.00
14,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,LCD02,Loxicard 2% 50ml Inj,(1.00 x Vial),19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,120.00,120.00
15,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,ANW004,Anawin 0.5 % Heavy 4ml Inj,Vials,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,240.00,240.00
16,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,LOX002,Lox 2% With Adrenaline Inj,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,240.00,240.00
17,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,PRI30,Prilox 30gm cream,Tube,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,20.00,20.00
18,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,PPl010,Phenpres LS 10ml (50mcg/ml) Inj,Nos,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,50.00,50.00
19,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,CAF020,Cafneon 20mg/ml inj,Vials,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,40.00,40.00
20,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,MCY600,Mucyst 600mg Tab,Tablet,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,500.00,500.00
21,P/AMPU/26/4972,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,PDT500,Prestero Depot 500mg/2ml Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,40.00,40.00
22,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,ATR500,Aztrone 500mg Inj,Vials,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,20.00,20.00
23,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,LOX10,Lox 10% Spray 20ml,Bottle,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,10.00,10.00
24,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,NVC004,Neovec 4mg Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,100.00,100.00
25,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,JSN100,Justin 100mg Suppository,Needle,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,150.00,150.00
26,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,SPDL01,Supridol 1ml Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,500.00,500.00
27,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,IVC100,Ivcros 100mg Injection,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,25.00,25.00
28,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,THL500,Thiosol 500mg Inj,Vial,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,25.00,25.00
29,P/AMPU/26/4973,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Neon Laboratories Ltd,MYN005,Myostigmin 0.5mg/1ml Inj,Ampoule,19/09/2026,,AARK PHARMACEUTICALS PRIVATE LIMITED ( NEON CFA ),,Neon Laboratories Ltd,No,,50.00,50.00
30,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,AES50,Augmentin ES Suspension 50ml,Bottle,19/09/2026,,Aggarwal Medical Agencies,,,No,,60.00,0.00
31,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,ZTL010,Zentel 400mg/10ml Susp,Mini Bottle,19/09/2026,,Aggarwal Medical Agencies,,,No,,120.00,0.00
32,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,CLPLS250,Calpol 250mg Syrup 60ml,(1.00 x Bottle),19/09/2026,,Aggarwal Medical Agencies,,,No,,48.00,0.00
33,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,ZTL400,Zentel 400mg Tab,Tablet,19/09/2026,,Aggarwal Medical Agencies,,,No,,200.00,0.00
34,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,ZOV400,Zovirax Suspension 100ml,Bottle,19/09/2026,,Aggarwal Medical Agencies,,,No,,10.00,0.00
35,P/AMPU/26/4974,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Approved,Pending,auto-generated,BTSL005,Betnesol 0.5mg Tab,Tablet,19/09/2026,,Aggarwal Medical Agencies,,,No,,600.00,0.00
36,P/AMPU/26/4975,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Pending,auto-generated,SYS010,Systane Ultra Eye Drops 10ml,Bottle,19/09/2026,,ALCON LABORATORIES (INDIA) PVT LTD,,,No,,60.00,0.00
37,P/AMPU/26/4976,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,ARINNA LIFESCIENCES LIMITED,DOD050,Desrina 50mg Tab,Tablet,19/09/2026,,Arinna Lifesciences Ltd,,ARINNA LIFESCIENCES LIMITED,No,,500.00,500.00
38,P/AMPU/26/4976,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,ARINNA LIFESCIENCES LIMITED,CLZA50,Clozabest 50mg Tab,Tablet,19/09/2026,,Arinna Lifesciences Ltd,,ARINNA LIFESCIENCES LIMITED,No,,1000.00,1000.00
39,P/AMPU/26/4976,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,ARINNA LIFESCIENCES LIMITED,PAR020,Parkinta 2mg DT  tab,Tablet,19/09/2026,,Arinna Lifesciences Ltd,,ARINNA LIFESCIENCES LIMITED,No,,2000.00,2000.00
40,P/AMPU/26/4976,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,ARINNA LIFESCIENCES LIMITED,LORN010,Loranza 1mg tab,Tablet,19/09/2026,,Arinna Lifesciences Ltd,,ARINNA LIFESCIENCES LIMITED,No,,1000.00,1000.00
41,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,VAL500,Valamac 500mg tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,1500.00,1500.00
42,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,THX075,Thyrox 75mcg Tab (120's),Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,50.00,50.00
43,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,THX025,Thyrox 25mcg Tab (120's),Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,75.00,75.00
44,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,THY120,Thyrox 100mcg Tab (120's),Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,50.00,50.00
45,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,ETZ025,Etizola 0.25mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,600.00,600.00
46,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,OMN155,Omnacortil Forte Syrup,Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,40.00,40.00
47,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,MGL10,Megalis 10mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,60.00,60.00
48,P/AMPU/26/4977,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Macleods Pharmaceuticals Limited,AMT255,Amlovas AT 25 Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,Macleods Pharmaceuticals Limited,No,,30.00,30.00
49,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,DCT006,Defcort 6mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,1000.00,1000.00
50,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,MCFL200,Macralfate Suspension 200ml (Sugar free),Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,96.00,96.00
51,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,NZM001,Nazomac-AF spray,Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,30.00,30.00
52,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CLND300,Clindasure 300mg Cap,Capsules,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,300.00,300.00
53,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AMKC100,Amikamac 100mg Inj,Vial,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,240.00,240.00
54,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OMC020,Omnacortil 20mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,1000.00,1000.00
55,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OTL040,Omnacortil 40mg Tab,(1.00 x Tablet),19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,600.00,600.00
56,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OMC010,Omnacortil 10mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,1500.00,1500.00
57,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,LIZ0100,Lizomac DS Syrup 30ml,Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,15.00,15.00
58,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,ONDM030,Ondamac 2mg/5ml Solution 30ml,Bottle,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,48.00,48.00
59,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OMN,Omnacortil-5 mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,1500.00,1500.00
60,P/AMPU/26/4978,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OMNA025,Omnacortil 2.5mg Tab,Tablet,19/09/2026,,Bansal Medical Hall (Macleods CFA),,,No,,200.00,200.00
61,P/AMPU/26/4979,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AON001,Acton OR 1000mg Tab,Tablet,19/09/2026,,BHATIA MEDIWAYS AGENCIES(APEX CFA),,,No,,800.00,800.00
62,P/AMPU/26/4980,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AZC0100,Azacytin 100mg Inj,Vial,19/09/2026,,Dr. Reddy's Laboratories Limited(CFA Delhi),,,No,,50.00,50.00
63,P/AMPU/26/4981,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,EMCURE PHARMACEUTICALS LIMITED,GRS100,Gros 100mg Inj,Vial,19/09/2026,,Emcure Pharmaceuticals Ltd,,EMCURE PHARMACEUTICALS LIMITED,No,,40.00,40.00
64,P/AMPU/26/4982,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,GROS30,Gros 30mg Inj,Vial,19/09/2026,,Emcure Pharmaceuticals Ltd,,,No,,50.00,50.00
65,P/AMPU/26/4983,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Biocon Biologics Limited,BSL100,Basalog One 100IU/ml Pen,Pack-B,19/09/2026,,ERIS HEALTHCARE PRIVATE LIMITED,,Biocon Biologics Limited,No,,72.00,72.00
66,P/AMPU/26/4984,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Galderma India Pvt Ltd,BIL015,Biluma Cream 15gm,Tube,19/09/2026,,Galderma CFA (Essen Medicare LLP),,Galderma India Pvt Ltd,No,,30.00,30.00
67,P/AMPU/26/4984,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Galderma India Pvt Ltd,LOC5555,Loceryl Nail Lacquer 2.5ml,Bottle,19/09/2026,,Galderma CFA (Essen Medicare LLP),,Galderma India Pvt Ltd,No,,10.00,10.00
68,P/AMPU/26/4985,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,SEV400,Sevcar 400mg Tab,Nos,19/09/2026,,Gennova  Biopharmaceuticals  Ltd,,,No,,500.00,500.00
69,P/AMPU/26/4985,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,VGF01,Vingraf 1mg Cap,Capsules,19/09/2026,,Gennova  Biopharmaceuticals  Ltd,,,No,,120.00,120.00
70,P/AMPU/26/4985,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,MOF180,Mofilet S 180mg Tab,Tablet,19/09/2026,,Gennova  Biopharmaceuticals  Ltd,,,No,,120.00,120.00
71,P/AMPU/26/4986,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Gland Pharma Limited,DTP025,Daltehep-G 2500IU Inj,Syringe,19/09/2026,,Gland Pharma Ltd (Delhi),,Gland Pharma Limited,No,,180.00,180.00
72,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CCM40,CCM Tab (40's),Bottle,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,120.00,120.00
73,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,SPF015,Supacef 1.5gm Inj,Vial,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,150.00,150.00
74,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AMN001,Augmentin 1000mg Tab,(1.00 x Tablet),19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,400.00,400.00
75,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CFT500,Ceftum 500mg Tab,Captab,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,400.00,400.00
76,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AUG625,Augmentin 625 mg Tab,Tablet,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,1000.00,1000.00
77,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,NSPN30,Neosporin Skin Ointment 30gm,Tube,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,80.00,80.00
78,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,TBT15,T-bact Ointment 15gm,Nos,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,40.00,40.00
79,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CBDXCZS,Cobadex Czs Tablet,Tablet,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,1200.00,1200.00
80,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CPL650,Calpol 650+ Tab,(1.00 x Tablet),19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,4500.00,4500.00
81,P/AMPU/26/4987,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,NSP005,Neosporin Powder,Bottle,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,100.00,100.00
82,P/AMPU/26/4988,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,TBT10,T-bact Cream 10gm,Nos,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,40.00,40.00
83,P/AMPU/26/4988,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,NEO10,Neosporin Antibiotic Ointment 10 gm,Tube,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,40.00,40.00
84,P/AMPU/26/4988,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,AVA0275,Avamys Nasal Spray,Canister,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,5.00,5.00
85,P/AMPU/26/4988,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,EMS005,Eumosone-M Cream 15gm,Tube,19/09/2026,,GLAXO SMITH KLINE PHARMACEUTICALS LIMITED,,,No,,10.00,10.00
86,P/AMPU/26/4989,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,Getwell Life Sciences [India] pvt.Ltd,DCMX4040,Decmax 4mg Tab (OSS),Tablet,19/09/2026,,GLS  Pharma Ltd,,Getwell Life Sciences [India] pvt.Ltd,No,,600.00,600.00
87,P/AMPU/26/4990,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,ARS01,Arsenam 1mg/ml inj 10ml,Vial,19/09/2026,,GLS  Pharma Ltd,,,No,,20.00,20.00
88,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,TFC750,Terifrac 750mcg 3ml Catridge,Cartridge,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,10.00,10.00
89,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,LOOZ240,Looz 240ml Syrup,Bottle,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,100.00,100.00
90,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,OLB060,Olimab 60mg/ml Inj (PFS),Syringe,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,2.00,2.00
91,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,PRUW1,Pruwel 1mg Tab,Tablet,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,600.00,600.00
92,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,RLN001,Relgin 1mg Tab,Tablet,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,500.00,500.00
93,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,CLB120,Cloba 2.5mg/ml Suspension 120ml,Bottle,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,20.00,20.00
94,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,HIMG20,Highmag 200mg Tab (60s),Bottle,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,48.00,48.00
95,P/AMPU/26/4991,19/09/2026,Braham  Datt,19/09/2026,Braham  Datt,Closed,Fully Processed,auto-generated,GPN100,Gabapin 100mg Tab,Tablet,19/09/2026,,Intas Pharmaceuticals Limited,,,No,,1800.00,1800.00
